,Feature,Importance
7,SEXUAL_ORIENTATION_2.0,1.6921
9,SEXUAL_ORIENTATION_4.0,-0.8031
8,SEXUAL_ORIENTATION_1.0,0.3924
15,TENROLLHMSCH,0.3768
1,REGION_2.0,0.3448
23,SETTING_5.0,0.3072
25,EXPNS_DIF_3.0,0.2957
6,MS_2.0,-0.2843
21,WRKLOSSRV,0.2229
35,HEARING,0.2209
34,SEEING,-0.2184
16,RECVDVACC,-0.2057
5,MS_1.0,0.1857
10,SEXUAL_ORIENTATION_3.0,-0.1813
17,WHENDOSES_3.0,0.1750
18,WHENDOSES_2.0,0.1684
44,PRICECONCRN_1.0,-0.1520
38,SELFCARE,-0.1273
39,LIVQTRRV_3.0,-0.1243
19,HADCOVIDRV,-0.1027
2,REGION_1.0,-0.1009
14,TENROLLPUB,0.0902
36,REMEMBERING,-0.0884
41,HSE_TEMP,0.0822
3,RHISPANIC,0.0777
43,PRICESTRESS_2.0,0.0739
4,EEDUC,0.0729
20,SYMPTOMS_2.0,0.0685
26,EXPNS_DIF_2.0,-0.0676
32,INTEREST,-0.0585
22,ANYWORK,-0.0541
29,CURFOODSUF,-0.0512
11,THHLD_NUMPER,-0.0503
42,INCOME,0.0451
12,THHLD_NUMKID,-0.0446
24,SETTING_14.0,-0.0401
33,DOWN,0.0289
37,MOBILITY,0.0212
45,age,0.0067
31,WORRY,-0.0062
13,THHLD_NUMADLT,-0.0057
30,ANXIOUS,0.0048
0,EST_ST,-0.0035
28,TSPNDPRPD,0.0004
40,ENERGY,0.0001
27,TSPNDFOOD,0.0000
